reaction_id,reaction_name,reaction_equation,flux,lower_bound,upper_bound,reversible
12DGR120tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",12dgr120_p --> 12dgr120_c,0.0,0.0,1000.0,False
12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",12dgr140_p --> 12dgr140_c,0.0,0.0,1000.0,False
12DGR141tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)",12dgr141_p --> 12dgr141_c,0.0,0.0,1000.0,False
12DGR160tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)",12dgr160_p --> 12dgr160_c,0.0,0.0,1000.0,False
12DGR161tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",12dgr161_p --> 12dgr161_c,0.0,0.0,1000.0,False
12DGR180tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",12dgr180_p --> 12dgr180_c,0.0,0.0,1000.0,False
12DGR181tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",12dgr181_p --> 12dgr181_c,0.0,0.0,1000.0,False
1P2CBXLCYCL,1 Pyrroline 2 carboxylate cyclation,5a2opntn_c <=> 1p2cbxl_c + h2o_c + h_c,0.0,-1000.0,1000.0,True
1P2CBXLR,Delta1 piperideine 2 carboxylate reductase,1p2cbxl_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,0.0,0.0,1000.0,False
23CTI1,Decenyl coa cis trans isomerization  cis dec 3 enoyl CoA,decoa_c --> dc2coa_c + h_c,0.0,0.0,1000.0,False
23CTI2,Dodecenyl coa cis trans isomerization  cis dodec 3 enoyl CoA,dded3coa_c --> dd2coa_c,0.0,0.0,1000.0,False
23CTI3,Cis trans isomerization  cis trans isomerization  3Z 6Z dodec dienoyl CoA,dd_3_6_coa_c --> dd6_2_coa_c,0.0,0.0,1000.0,False
24DECOAR,2 4 dienoyl CoA reductase,dec4_2_coa_c + h_c + nadph_c --> dc2coa_c + nadp_c,0.0,0.0,1000.0,False
2AACLPGT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,2agpg161_c + hdeACP_c --> ACP_c + pg161_c,0.0,0.0,1000.0,False
2AACLPPEAT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,2agpe161_c + hdeACP_c --> ACP_c + pe161_c,0.0,0.0,1000.0,False
2ACLMM,2-Acetolactate methylmutase,alac__S_c --> 33hmeoxobut_c,0.0,0.0,1000.0,False
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),2agpe141_p --> 2agpe141_c,0.0,0.0,1000.0,False
2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),2agpe160_p --> 2agpe160_c,0.0,0.0,1000.0,False
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),2agpe161_p --> 2agpe161_c,0.0,0.0,1000.0,False
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),2agpe180_p --> 2agpe180_c,0.0,0.0,1000.0,False
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),2agpe181_p --> 2agpe181_c,0.0,0.0,1000.0,False
2AGPEAT160,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c,0.0,0.0,1000.0,False
2AGPEAT180,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c,0.0,0.0,1000.0,False
2AGPEAT181,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c,0.0,0.0,1000.0,False
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2agpg160_p --> 2agpg160_c,0.0,0.0,1000.0,False
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),2agpg161_p --> 2agpg161_c,0.0,0.0,1000.0,False
2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),2agpg180_p --> 2agpg180_c,0.0,0.0,1000.0,False
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),2agpg181_p --> 2agpg181_c,0.0,0.0,1000.0,False
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c,0.0,0.0,1000.0,False
2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,0.0,0.0,1000.0,False
2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c,0.0,0.0,1000.0,False
2DHGLCNtex,Ketogluconate transport via diffusion  extracellular to periplasm,2dhglcn_e <=> 2dhglcn_p,0.0,-1000.0,1000.0,True
2MAHMP,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase,2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,0.0,0.0,1000.0,False
2OXOVISO,2-Oxoisovalerate synthase,alac_c --> co2_c + oiv_c,0.0,0.0,1000.0,False
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34hpp_c + o2_c --> co2_c + hgentis_c,0.0,0.0,1000.0,False
