reaction_id,reaction_name,reaction_equation,flux,lower_bound,upper_bound
EX_ca2_e,EX_ca2_e,ca2_e <-- ,-0.017145081491967605,-1000.0,0.0
EX_cl_e,EX_cl_e,cl_e <=> ,-0.01714508149196757,-1000.0,1000.0
EX_co2_e,EX_co2_e,co2_e <=> ,106.17295236215583,-1000.0,1000.0
EX_cobalt2_e,EX_cobalt2_e,cobalt2_e <=> ,-0.00032939637832791037,-1000.0,1000.0
EX_cu2_e,EX_cu2_e,cu2_e <=> ,-0.002335420322344887,-1000.0,1000.0
EX_fe2_e,EX_fe2_e,fe2_e <=> ,-0.022118966804719014,-1000.0,1000.0
EX_fe3_e,EX_fe3_e,fe3_e <=> ,-0.025719269219841526,-1000.0,1000.0
EX_h2o_e,EX_h2o_e,h2o_e <=> ,199.06281339973518,-1000.0,1000.0
EX_h_e,EX_h_e,h_e <=> ,-91.39226759167371,-1000.0,1000.0
EX_k_e,EX_k_e,k_e <=> ,-0.6429586727495904,-1000.0,1000.0
EX_mg2_e,EX_mg2_e,mg2_e <=> ,-0.028575135819944305,-1000.0,1000.0
EX_mn2_e,EX_mn2_e,mn2_e <-- ,-0.0022761289742458655,-1000.0,0.0
EX_nh4_e,EX_nh4_e,nh4_e <=> ,-36.862462123825374,-1000.0,1000.0
EX_o2_e,EX_o2_e,o2_e <=> ,-100.0,-100.0,1000.0
EX_pi_e,EX_pi_e,pi_e <=> ,-3.242462659527166,-1000.0,1000.0
EX_so4_e,EX_so4_e,so4_e <=> ,-0.8236556440088845,-1000.0,1000.0
EX_zn2_e,EX_zn2_e,zn2_e <-- ,-0.0011232416500981648,-1000.0,0.0
AADa,,aad_c + coa_c <=> accoa_c + amp_c,-16.097212321158388,-1000.0,1000.0
AADb,,ac_c + atp_c <=> aad_c + ppi_c,-16.097212321158388,-1000.0,1000.0
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,2.8779130997042763,0.0,1000.0
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,-0.9569920039922304,-1000.0,1000.0
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),nad_c + occoa_c <=> h_c + nadh_c + oc2coa_c,74.73767652183206,-1000.0,1000.0
ACOAD3f,Acyl-CoA dehydrogenase (octanoyl-CoA),fad_c + occoa_c <=> fadh2_c + oc2coa_c,-74.73767652183206,-1000.0,1000.0
ACONT,Aconitate hydratase,cit_c <=> icit_c,77.41580413015099,-1000.0,1000.0
ADCL,4-aminobenzoate synthase,4adcho_c --> 4abz_c + h_c + pyr_c,0.002203661771013181,0.0,1000.0
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c --> 4adcho_c + glu__L_c,0.002203661771013181,0.0,1000.0
ADK1,Adenylate kinase,amp_c + atp_c <=> 2.0 adp_c,-9.467655640307095,-1000.0,1000.0
ADKd,Adenylate kinase (d form),damp_c + datp_c <=> 2.0 dadp_c,-0.08618985635327524,-1000.0,1000.0
ADSL1r,Adenylsuccinate lyase,dcamp_c <=> amp_c + fum_c,0.983113136793669,-1000.0,1000.0
ADSL2r,Adenylosuccinate lyase,25aics_c <=> aicar_c + fum_c,1.472233818972779,-1000.0,1000.0
ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,0.9831131367936692,0.0,1000.0
AHCi,Adenosylhomocysteinase,ahcys_c + h2o_c <=> adn_c + hcys__L_c,-0.0007345539236712416,-1000.0,1000.0
AHSERL2,O acetylhomoserine  thiol  lyase,achms_c + h2s_c --> ac_c + h_c + hcys__L_c,0.5069706719206695,0.0,1000.0
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c <=> fprica_c + thf_c,1.78429735987305,-1000.0,1000.0
AIRC2,Phosphoribosylaminoimidazole carboxylase,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,1.4722338189727755,0.0,1000.0
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),5aizc_c <=> 5caiz_c,-1.472233818972779,-1000.0,1000.0
AKGDH,2-Oxogluterate dehydrogenase,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,29.901825351423362,0.0,1000.0
AKGDa,Oxoglutarate dehydrogenase (lipoamide),akg_c + h_c + lpam_c <=> co2_c + sdhlam_c,0.9569920039922302,-1000.0,1000.0
AKGDb,Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),coa_c + sdhlam_c --> dhlam_c + succoa_c,0.9569920039922301,0.0,1000.0
ALAALAr,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,0.32939637832788826,-1000.0,1000.0
ALAR,Alanine racemase,ala__L_c <=> ala__D_c,0.9881891349836647,-1000.0,1000.0
ALATA_D,D-alanine transaminase,akg_c + ala__D_c <=> glu__D_c + pyr_c,0.3293963783278882,-1000.0,1000.0
ALATA_L,L-alanine transaminase,akg_c + ala__L_c <=> glu__L_c + pyr_c,-3.008923921256627,-1000.0,1000.0
AMPMS2,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,0.0007345539236712333,0.0,1000.0
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> ppi_c + pran_c,0.1872387833329216,0.0,1000.0
ANS2,Anthranilate synthase 2,chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c,0.18723878333292157,0.0,1000.0
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,0.0014691078473423815,0.0,1000.0
ARGSL,Argininosuccinate lyase,argsuc_c <=> arg__L_c + fum_c,0.9743281353836273,-1000.0,1000.0
ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,0.9743281353836273,0.0,1000.0
AROAT,Prephenate transaminase,glu__L_c + h_c + pphn_c <=> Largn_c + akg_c,0.6102562003091623,-1000.0,1000.0
AROH,L-Arogenate hydro-lyase,Largn_c --> co2_c + h2o_c + phe__L_c,0.6102562003091622,0.0,1000.0
ASAD,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,-3.759354750363168,-1000.0,1000.0
ASNS2,Asparagine synthetase,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,0.794026439778291,0.0,1000.0
ASPCT,Aspartate carbamoyltransferase,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,1.0896267496897385,0.0,1000.0
ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,3.7593547503631677,-1000.0,1000.0
ASPTA,Aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,-9.866709470759561,-1000.0,1000.0
ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c --> ppi_c + prbatp_c,0.3120635409002749,0.0,1000.0
ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c,345.7548618174202,-1000.0,1000.0
CAT,Catalase,2.0 h2o2_c --> 2.0 h2o_c + o2_c,0.0003672769618356197,0.0,1000.0
CAt6,CAt6,ca2_c + na1_e <=> ca2_e + na1_c,-0.017145081491967577,-1000.0,1000.0
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,2.063954885073366,0.0,1000.0
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,3.623360161606771,0.0,1000.0
CHORM,Chorismate mutase,chor_c --> pphn_c,1.0652151840918582,0.0,1000.0
CHORS,Chorismate synthase,3psme_c --> chor_c + pi_c,1.254657629195793,0.0,1000.0
CMCBTFL,CMCBTFL,cmcbtt_c + fe3_e --> fcmcbtt_c,0.025719269219841526,0.0,1000.0
CMCBTFU,CMCBTFU,fcmcbtt_c --> cmcbtt_c + fe3_c + h_c,0.025719269219841526,0.0,1000.0
CO2t,CO2 transporter via diffusion,co2_e <=> co2_c,-106.17295236215583,-1000.0,1000.0
COBALTt5,Cobalt (Co+2) transport via diffusion (extracellular to cytoplasm),cobalt2_c <=> cobalt2_e,-0.00032939637832791037,-1000.0,1000.0
CS,Citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,77.41580413015099,0.0,1000.0
CTPS1,CTP synthase  NH3,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,0.5287635363108426,0.0,1000.0
CYO1_KT,Ubiquinol   cytochrome c reductase,2.0 ficytc_c + 2.0 h_c + q8h2_c --> 2.0 focytc_c + 2.0 h_p + q8_c,199.9973911806838,0.0,1000.0
CYS,L-cysteine,h2s_c + ser__L_c <=> cys__L_c + h2o_c,0.30239575719635126,-1000.0,1000.0
CYTBD2pp,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c,0.0018742653926852734,0.0,1000.0
CYTCAA3pp,Cytochrome c oxidase aa3  2 protons1 electron    periplasm,2.0 focytc_c + 2.0 h_c + 0.5 o2_c --> 2.0 ficytc_c + h2o_c + 2.0 h_p,199.99739118068376,0.0,1000.0
CYTK1,Cytidylate kinase (CMP),atp_c + cmp_c <=> adp_c + cdp_c,3.623360161606771,-1000.0,1000.0
Clt,Major Facilitator(MFS) TCDB:2.A.1.14.6,cl_e <=> cl_c,0.01714508149196757,-1000.0,1000.0
DADK,Deoxyadenylate kinase,atp_c + damp_c <=> adp_c + dadp_c,0.08618985635327524,-1000.0,1000.0
DAPDC,Diaminopimelate decarboxylase,26dap__M_c + h_c --> co2_c + lys__L_c,1.1303599058337643,0.0,1000.0
DAPE,Diaminopimelate epimerase,26dap_LL_c <=> 26dap__M_c,1.459756284161653,-1000.0,1000.0
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",ru5p__D_c --> db4p_c + for_c,0.0029382156946847634,0.0,1000.0
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,1.254657629195793,0.0,1000.0
DHAD3,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate,23dhmp_c --> 2o3mpt_c + h2o_c,0.9569920039922303,0.0,1000.0
DHDPRx_r,Dihydrodipicolinate reductase (NADH) reversible,23dhdp_c + h_c + nadh_c --> nad_c + thdp_c,1.4597562841616525,0.0,1000.0
DHDPS,Dihydrodipicolinate synthase,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,1.4597562841616527,0.0,1000.0
DHFR,Dihydrofolate reductase,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,0.08839351812428844,-1000.0,1000.0
DHFS,Dihydrofolate synthase,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,0.0022036617710131986,0.0,1000.0
DHNPA_1,Dihydroneopterin aldolase,dhnpt_c --> 2ahhmp_c + gcald_c,0.0022036617710131812,0.0,1000.0
DHORDfum,Fumarate dependent DHORD,dhor__S_c + fum_c --> orot_c + succ_c,1.089626749689839,0.0,1000.0
DHORTS,Dihydroorotase,dhor__S_c + h2o_c <=> cbasp_c + h_c,-1.0896267496897385,-1000.0,1000.0
DHPPDA,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,25dhpp_c + h2o_c + h_c --> 5apru_c + nh4_c,0.0014691078473423813,0.0,1000.0
DHPS,Dihydropteroate synthase,2ahhmp_c + 4abz_c --> dhpt_c + h2o_c,0.002203661771013181,0.0,1000.0
DHQS,3-dehydroquinate synthase,2dda7p_c --> 3dhq_c + pi_c,1.2546576291957932,0.0,1000.0
DHQTi,"3-dehydroquinate dehydratase, irreversible",3dhq_c --> 3dhsk_c + h2o_c,1.254657629195793,0.0,1000.0
DMATT,Dimethylallyltranstransferase,dmpp_c + ipdp_c --> grdp_c + ppi_c,0.3293963783278882,0.0,1000.0
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,0.3293963783278882,0.0,1000.0
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0.002203661771012973,0.0,1000.0
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c,0.002203661771012973,0.0,1000.0
