reaction_id,reaction_name,reaction_equation,flux,lower_bound,upper_bound
EX_ca2_e,EX_ca2_e,ca2_e <-- ,-0.0023537431898205874,-1000.0,0.0
EX_cl_e,EX_cl_e,cl_e <=> ,-0.002353743189820588,-1000.0,1000.0
EX_co2_e,EX_co2_e,co2_e <=> ,18.719693193704792,-1000.0,1000.0
EX_cobalt2_e,EX_cobalt2_e,cobalt2_e <=> ,-4.522081056332114e-05,-1000.0,1000.0
EX_cu2_e,EX_cu2_e,cu2_e <=> ,-0.00032061554689394686,-1000.0,1000.0
EX_fe2_e,EX_fe2_e,fe2_e <=> ,-0.0065674183181103525,-1000.0,1000.0
EX_h2o_e,EX_h2o_e,h2o_e <=> ,31.473738498207794,-1000.0,1000.0
EX_h_e,EX_h_e,h_e <=> ,-14.625675681143413,-1000.0,1000.0
EX_k_e,EX_k_e,k_e <=> ,-0.08826785676285301,-1000.0,1000.0
EX_mg2_e,EX_mg2_e,mg2_e <=> ,-0.003922905316367645,-1000.0,1000.0
EX_mn2_e,EX_mn2_e,mn2_e <-- ,-0.0003124758009925494,-1000.0,0.0
EX_nh4_e,EX_nh4_e,nh4_e <=> ,-5.060621568036407,-1000.0,1000.0
EX_o2_e,EX_o2_e,o2_e <=> ,-17.873129095912553,-100.0,1000.0
EX_pi_e,EX_pi_e,pi_e <=> ,-0.44513783190174483,-1000.0,1000.0
EX_so4_e,EX_so4_e,so4_e <=> ,-0.1130746368135712,-1000.0,1000.0
EX_zn2_e,EX_zn2_e,zn2_e <-- ,-0.00015420296402092514,-1000.0,0.0
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,0.3950910564349506,0.0,1000.0
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,-0.13137956872149573,-1000.0,1000.0
ACOAD2,Acyl-CoA dehydrogenase (hexanoyl-CoA),h_c + hx2coa_c + nadh_c <=> hxcoa_c + nad_c,-12.33220723435452,-1000.0,1000.0
ACOAD2f,Acyl-CoA dehydrogenase (hexanoyl-CoA),fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,-12.33220723435452,-1000.0,1000.0
ACONT,Aconitate hydratase,cit_c <=> icit_c,12.69987096476661,-1000.0,1000.0
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,19.069598897329893,0.0,1000.0
ADCL,4-aminobenzoate synthase,4adcho_c --> 4abz_c + h_c + pyr_c,0.0003025272226693157,0.0,1000.0
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c --> 4adcho_c + glu__L_c,0.0003025272226693157,0.0,1000.0
ADK1,Adenylate kinase,amp_c + atp_c <=> 2.0 adp_c,22.62328903264403,-1000.0,1000.0
ADSL1r,Adenylsuccinate lyase,dcamp_c <=> amp_c + fum_c,0.13496557899923295,-1000.0,1000.0
ADSL2r,Adenylosuccinate lyase,25aics_c <=> aicar_c + fum_c,0.20211396060469883,-1000.0,1000.0
ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,0.13496557899923295,0.0,1000.0
AHCi,Adenosylhomocysteinase,ahcys_c + h2o_c <=> adn_c + hcys__L_c,-0.0001008424075561942,-1000.0,1000.0
AHSERL2,O acetylhomoserine  thiol  lyase,achms_c + h2s_c --> ac_c + h_c + hcys__L_c,0.06959889732989215,0.0,1000.0
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c <=> fprica_c + thf_c,0.24495525211617541,-1000.0,1000.0
AIRC2,Phosphoribosylaminoimidazole carboxylase,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,0.20211396060469883,0.0,1000.0
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),5aizc_c <=> 5caiz_c,-0.20211396060469886,-1000.0,1000.0
AKGDH,2-Oxogluterate dehydrogenase,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,6.176967937206532,0.0,1000.0
AKGDa,Oxoglutarate dehydrogenase (lipoamide),akg_c + h_c + lpam_c <=> co2_c + sdhlam_c,0.1313795687214957,-1000.0,1000.0
AKGDb,Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),coa_c + sdhlam_c --> dhlam_c + succoa_c,0.1313795687214957,0.0,1000.0
