reaction_id,reaction_name,reaction_equation,flux,lower_bound,upper_bound
EX_ca2_e,EX_ca2_e,ca2_e <-- ,-0.002065407875244984,-1000.0,0.0
EX_cl_e,EX_cl_e,cl_e <=> ,-0.0020654078752449837,-1000.0,1000.0
EX_co2_e,EX_co2_e,co2_e <=> ,21.078802541034282,-1000.0,1000.0
EX_cobalt2_e,EX_cobalt2_e,cobalt2_e <=> ,-3.968122719010537e-05,-1000.0,1000.0
EX_cu2_e,EX_cu2_e,cu2_e <=> ,-0.000281339900777847,-1000.0,1000.0
EX_fe2_e,EX_fe2_e,fe2_e <=> ,-0.005762904624819001,-1000.0,1000.0
EX_h2o_e,EX_h2o_e,h2o_e <=> ,32.27435326984605,-1000.0,1000.0
EX_h_e,EX_h_e,h_e <=> ,-15.16130514290342,-1000.0,1000.0
EX_k_e,EX_k_e,k_e <=> ,-0.07745497778917147,-1000.0,1000.0
EX_mg2_e,EX_mg2_e,mg2_e <=> ,-0.00344234645874164,-1000.0,1000.0
EX_mn2_e,EX_mn2_e,mn2_e <-- ,-0.00027419727988362805,-1000.0,0.0
EX_nh4_e,EX_nh4_e,nh4_e <=> ,-4.44206299538872,-1000.0,1000.0
EX_o2_e,EX_o2_e,o2_e <=> ,-20.3359431832072,-100.0,1000.0
EX_pi_e,EX_pi_e,pi_e <=> ,-0.3912938036356813,-1000.0,1000.0
EX_so4_e,EX_so4_e,so4_e <=> ,-0.09945147245747563,-1000.0,1000.0
EX_zn2_e,EX_zn2_e,zn2_e <-- ,-0.00013531298471825925,-1000.0,0.0
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,0.34669210427402514,0.0,1000.0
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,-0.11528547254314118,-1000.0,1000.0
ACONT,Aconitate hydratase,cit_c <=> icit_c,13.470689170019309,-1000.0,1000.0
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,19.061072979956016,0.0,1000.0
ADCL,4-aminobenzoate synthase,4adcho_c --> 4abz_c + h_c + pyr_c,0.0002654674099018265,0.0,1000.0
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c --> 4adcho_c + glu__L_c,0.0002654674099018265,0.0,1000.0
ADK1,Adenylate kinase,amp_c + atp_c <=> 2.0 adp_c,22.180842872759264,-1000.0,1000.0
ADKd,Adenylate kinase (d form),damp_c + datp_c <=> 2.0 dadp_c,-0.010382989906562968,-1000.0,1000.0
ADSL1r,Adenylsuccinate lyase,dcamp_c <=> amp_c + fum_c,0.1186607577279322,-1000.0,1000.0
ADSL2r,Adenylosuccinate lyase,25aics_c <=> aicar_c + fum_c,0.17758341198251967,-1000.0,1000.0
ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,0.1186607577279322,0.0,1000.0
AHCi,Adenosylhomocysteinase,ahcys_c + h2o_c <=> adn_c + hcys__L_c,-8.848913665837186e-05,-1000.0,1000.0
AHSERL2,O acetylhomoserine  thiol  lyase,achms_c + h2s_c --> ac_c + h_c + hcys__L_c,0.06107297995601925,0.0,1000.0
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c <=> fprica_c + thf_c,0.21517661299788168,-1000.0,1000.0
AIRC2,Phosphoribosylaminoimidazole carboxylase,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,0.1775834119825197,0.0,1000.0
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),5aizc_c <=> 5caiz_c,-0.1775834119825197,-1000.0,1000.0
AKGDH,2-Oxogluterate dehydrogenase,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,7.745894329658299,0.0,1000.0
AKGDa,Oxoglutarate dehydrogenase (lipoamide),akg_c + h_c + lpam_c <=> co2_c + sdhlam_c,0.11528547254314116,-1000.0,1000.0
AKGDb,Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),coa_c + sdhlam_c --> dhlam_c + succoa_c,0.11528547254314116,0.0,1000.0
AKP1,Alkaline phosphatase  Dihydroneopterin,ahdt_c + 3.0 h2o_c --> dhnpt_c + 2.0 h_c + 3.0 pi_c,0.0002654674099018265,0.0,1000.0
ALAALAr,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,0.039681227190105355,-1000.0,1000.0
ALAR,Alanine racemase,ala__L_c <=> ala__D_c,0.11904368157031607,-1000.0,1000.0
ALATA_D,D-alanine transaminase,akg_c + ala__D_c <=> glu__D_c + pyr_c,0.03968122719010536,-1000.0,1000.0
ALATA_L,L-alanine transaminase,akg_c + ala__L_c <=> glu__L_c + pyr_c,-0.18369828909253624,-1000.0,1000.0
AMPMS2,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,8.848913663393496e-05,0.0,1000.0
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> ppi_c + pran_c,0.02255599997167159,0.0,1000.0
ANS2,Anthranilate synthase 2,chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c,0.02255599997167159,0.0,1000.0
APPAT,ATP:pantetheine-4'-phosphate adenylyltransferase,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,0.00022856386861715486,0.0,1000.0
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,0.00017697827326786987,0.0,1000.0
ARGSL,Argininosuccinate lyase,argsuc_c <=> arg__L_c + fum_c,0.11737389553018089,-1000.0,1000.0
ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,0.11737389553018089,0.0,1000.0
AROAT,Prephenate transaminase,glu__L_c + h_c + pphn_c <=> Largn_c + akg_c,0.0735154255537487,-1000.0,1000.0
AROH,L-Arogenate hydro-lyase,Largn_c --> co2_c + h2o_c + phe__L_c,0.07351542555374868,0.0,1000.0
ASAD,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,-0.45287629054886563,-1000.0,1000.0
ASNS2,Asparagine synthetase,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,0.09565358220310846,0.0,1000.0
ASPCT,Aspartate carbamoyltransferase,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,0.13126351548350892,0.0,1000.0
ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,0.45287629054886563,-1000.0,1000.0
ASPTA,Aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,-1.189065035679224,-1000.0,1000.0
ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c --> ppi_c + prbatp_c,0.03759320101536202,0.0,1000.0
ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c,64.97969240767183,-1000.0,1000.0
CAT,Catalase,2.0 h2o2_c --> 2.0 h2o_c + o2_c,4.4244568341086425e-05,0.0,1000.0
CAt6,CAt6,ca2_c + na1_e <=> ca2_e + na1_c,-0.002065407875244984,-1000.0,1000.0
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,0.2486374110136898,0.0,1000.0
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,0.4364934990911588,0.0,1000.0
CHORM,Chorismate mutase,chor_c --> pphn_c,0.1283227397364503,0.0,1000.0
