reaction_id,reaction_name,reaction_equation,flux,lower_bound,upper_bound
EX_ca2_e,EX_ca2_e,ca2_e <-- ,-0.0020657442947449494,-1000.0,0.0
EX_cl_e,EX_cl_e,cl_e <=> ,-0.0020657442947449485,-1000.0,1000.0
EX_co2_e,EX_co2_e,co2_e <=> ,21.078789581512694,-1000.0,1000.0
EX_cobalt2_e,EX_cobalt2_e,cobalt2_e <=> ,-3.968769058107491e-05,-1000.0,1000.0
EX_cu2_e,EX_cu2_e,cu2_e <=> ,-0.0002813857262198211,-1000.0,1000.0
EX_fe2_e,EX_fe2_e,fe2_e <=> ,-0.0057638433030895095,-1000.0,1000.0
EX_h2o_e,EX_h2o_e,h2o_e <=> ,32.2722776547391,-1000.0,1000.0
EX_h_e,EX_h_e,h_e <=> ,-15.160908486481507,-1000.0,1000.0
EX_k_e,EX_k_e,k_e <=> ,-0.07746759387591756,-1000.0,1000.0
EX_mg2_e,EX_mg2_e,mg2_e <=> ,-0.0034429071579082484,-1000.0,1000.0
EX_mn2_e,EX_mn2_e,mn2_e <-- ,-0.0002742419419152276,-1000.0,0.0
EX_nh4_e,EX_nh4_e,nh4_e <=> ,-4.441414924637426,-1000.0,1000.0
EX_o2_e,EX_o2_e,o2_e <=> ,-20.3358092246439,-100.0,1000.0
EX_pi_e,EX_pi_e,pi_e <=> ,-0.3906717353883971,-1000.0,1000.0
EX_so4_e,EX_so4_e,so4_e <=> ,-0.09923907029797782,-1000.0,1000.0
EX_zn2_e,EX_zn2_e,zn2_e <-- ,-0.00013533502488146542,-1000.0,0.0
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,0.3467485744685108,0.0,1000.0
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,-0.11530425056829104,-1000.0,1000.0
ACONT,Aconitate hydratase,cit_c <=> icit_c,13.470741044743239,-1000.0,1000.0
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,19.06108292769642,0.0,1000.0
ADCL,4-aminobenzoate synthase,4adcho_c --> 4abz_c + h_c + pyr_c,0.0002655106499873734,0.0,1000.0
