reaction_id,reaction_name,reaction_equation,flux,lower_bound,upper_bound
EX_ca2_e,EX_ca2_e,ca2_e <-- ,-0.002706237423548981,-1000.0,0.0
EX_cl_e,EX_cl_e,cl_e <=> ,-0.0027062374235489804,-1000.0,1000.0
EX_co2_e,EX_co2_e,co2_e <=> ,15.832293666380773,-1000.0,1000.0
EX_cobalt2_e,EX_cobalt2_e,cobalt2_e <=> ,-5.199303407394776e-05,-1000.0,1000.0
EX_cu2_e,EX_cu2_e,cu2_e <=> ,-0.00036863061158428956,-1000.0,1000.0
EX_fe2_e,EX_fe2_e,fe2_e <=> ,-0.007550948338559435,-1000.0,1000.0
EX_h2o_e,EX_h2o_e,h2o_e <=> ,30.496372081542077,-1000.0,1000.0
EX_h_e,EX_h_e,h_e <=> ,-13.970581231790234,-1000.0,1000.0
EX_k_e,EX_k_e,k_e <=> ,-0.10148676299996083,-1000.0,1000.0
EX_mg2_e,EX_mg2_e,mg2_e <=> ,-0.004510395705914968,-1000.0,1000.0
EX_mn2_e,EX_mn2_e,mn2_e <-- ,-0.00035927186545097893,-1000.0,0.0
EX_nh4_e,EX_nh4_e,nh4_e <=> ,-5.818495209275578,-1000.0,1000.0
EX_o2_e,EX_o2_e,o2_e <=> ,-14.858948973218348,-100.0,1000.0
EX_pi_e,EX_pi_e,pi_e <=> ,-0.5118012298618544,-1000.0,1000.0
EX_so4_e,EX_so4_e,so4_e <=> ,-0.1300085817019063,-1000.0,1000.0
EX_zn2_e,EX_zn2_e,zn2_e <-- ,-0.00017729624619216184,-1000.0,0.0
A6PAG,,atp_c + gal_c --> adp_c + dgal6p_c + h_c,3.0394556662803893,0.0,1000.0
ACCOAL,Acetate-CoA ligase (ADP-forming),atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,21.771915024191127,0.0,1000.0
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,0.4542594991916962,0.0,1000.0
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,-0.1510548419646997,-1000.0,1000.0
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),nad_c + tdcoa_c <=> h_c + nadh_c + td2coa_c,11.333645236703438,-1000.0,1000.0
ACOAD6f,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),fad_c + tdcoa_c <=> fadh2_c + td2coa_c,-11.33364523670344,-1000.0,1000.0
ACONT,Aconitate hydratase,cit_c <=> icit_c,11.756369920868606,-1000.0,1000.0
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,19.23107680077757,0.0,1000.0
ADCL,4-aminobenzoate synthase,4adcho_c --> 4abz_c + h_c + pyr_c,0.00034783339795469814,0.0,1000.0
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c --> 4adcho_c + glu__L_c,0.00034783339795469814,0.0,1000.0
ADK1,Adenylate kinase,amp_c + atp_c <=> 2.0 adp_c,-1.49440666228845,-1000.0,1000.0
