panel,panel_kind,n_features,macro_f1,balanced_accuracy,macro_f1_fold_mean,macro_f1_fold_std,per_class_f1__N_limited,per_class_f1__Ac_limited,per_class_f1__O2_limited,rmse,mae,r2,note
curated_paper,curated,31,0.9565,0.9349,0.95,0.0768,0.9268,0.9474,0.9953,0.03085,0.00319,0.9216,hand-curated paper-aligned reactions present in 120-width set (n=31)
top_10,top_k,10,0.9658,0.9508,0.9603,0.0793,0.9524,0.9474,0.9976,0.03492,0.0042,0.8996,top-10 by mean(|SHAP|) on the 120-width superset
top_20,top_k,20,0.9658,0.9508,0.9603,0.0793,0.9524,0.9474,0.9976,0.03492,0.0042,0.8996,top-20 by mean(|SHAP|) on the 120-width superset
top_50,top_k,50,0.9658,0.9508,0.9603,0.0793,0.9524,0.9474,0.9976,0.03492,0.0042,0.8996,top-50 by mean(|SHAP|) on the 120-width superset
all_widths,full,120,0.9911,0.9841,0.9897,0.0206,0.9756,1.0,0.9976,0.03374,0.00379,0.9062,every width__ column (superset)
random_30_seed1,random,30,0.9728,0.9508,0.9667,0.0455,0.9756,0.9474,0.9953,0.03378,0.0038,0.9061,seed=1
random_30_seed2,random,30,0.9911,0.9841,0.9897,0.0206,0.9756,1.0,0.9976,0.03688,0.00389,0.888,seed=2
random_30_seed3,random,30,0.9728,0.9508,0.9667,0.0455,0.9756,0.9474,0.9953,0.03058,0.00291,0.923,seed=3
random_30_seed4,random,30,0.9911,0.9841,0.9897,0.0206,0.9756,1.0,0.9976,0.03377,0.0038,0.9061,seed=4
random_30_seed5,random,30,0.9728,0.9508,0.9667,0.0455,0.9756,0.9474,0.9953,0.03058,0.00291,0.923,seed=5
random_30_seed6,random,30,0.9911,0.9841,0.9897,0.0206,0.9756,1.0,0.9976,0.03378,0.0038,0.9061,seed=6
random_30_seed7,random,30,0.9911,0.9841,0.9897,0.0206,0.9756,1.0,0.9976,0.03377,0.0038,0.9061,seed=7
random_30_seed8,random,30,0.9911,0.9841,0.9897,0.0206,0.9756,1.0,0.9976,0.03339,0.00309,0.9082,seed=8
random_30_seed9,random,30,0.9911,0.9841,0.9897,0.0206,0.9756,1.0,0.9976,0.03374,0.00379,0.9062,seed=9
random_30_seed10,random,30,0.9911,0.9841,0.9897,0.0206,0.9756,1.0,0.9976,0.03363,0.00374,0.9069,seed=10
