condition_id,predicted_regime,predicted_severity,od_mean,od_sd,n,sev_rank,od_rank,rank_residual
C10,O2_limited,0.3,0.735,0.013527749258468722,3,0.95,0.1,0.85
C4,Ac_limited,0.1,2.3000000000000003,0.050089919145472464,3,0.45,1.0,0.55
C6,Ac_limited,0.1,2.285,0.030512292604784788,3,0.45,0.9,0.45
C5,O2_limited,0.3,1.3699999999999999,0.019467922333931728,3,0.95,0.5,0.44999999999999996
C7,Ac_limited,0.1,1.96,0.030315012782448393,3,0.45,0.8,0.35000000000000003
C8,Ac_limited,0.1,0.79,0.01044030650891059,3,0.45,0.2,0.25
C3,Ac_limited,0.1,1.8150000000000002,0.030413812651491,3,0.45,0.7,0.24999999999999994
C9,Ac_limited,0.1,1.165,0.019974984355438142,3,0.45,0.3,0.15000000000000002
C2,Ac_limited,0.1,1.63,0.02773084924772406,3,0.45,0.6,0.14999999999999997
C1,Ac_limited,0.1,1.285,0.028792360097776006,3,0.45,0.4,0.04999999999999999
